Year,Date,Open,High,Low,Close,Adj Close,Volume
2016,12,588.8,589.9,583.8,587.6,587.6,69.20000
2016,13,587.4,589.8,585,585.6,585.6,43.60000
2016,14,585.6,585.7,564.8,570.5,570.5,60.90000
2016,15,570.5,573.6,563.2,567.2,567.2,57.30000
2016,16,567.2,581.7,566.7,577.4,577.4,58.40000
2016,17,577.8,580.9,571.4,573.2,573.2,54.40000
2016,18,573.7,577.8,573.4,574.3,574.3,59.90000
2016,19,574.3,578.2,574.2,575.6,575.6,50.60000
2016,20,576.1,582.8,575.5,581.7,581.7,45.30000
2016,21,581.9,584.2,580.2,581.3,581.3,38.30000
2016,22,581.3,588.4,580.6,586.8,586.8,72.80000
2016,23,586.8,589.5,581.6,583.4,583.4,85.30000
2016,24,583.4,583.6,579.9,580.2,580.2,56.30000
2016,25,580.2,580.5,575.2,577.8,577.8,136.00000
2016,26,577.8,580.6,576.9,579.7,579.7,48.90000
2016,27,579.5,579.8,568.6,569.9,569.9,59.70000
2016,28,569.8,574,569.7,573.9,573.9,86.30000
2016,29,574.1,576.3,573.5,574.1,574.1,110.00000
2016,30,574.1,578.4,574.1,577.5,577.5,70.30000
2016,31,577.6,577.9,573.6,575.5,575.5,75.80000
2016,1,575.5,576.3,571.8,572.3,572.3,76.90000
2016,2,572.4,575.6,570.8,575.5,575.5,79.90000
2016,3,575.6,599.5,574.1,598.2,598.2,159.00000
2016,4,598.6,611.8,596.8,608.6,608.6,97.90000
2016,5,609,609.1,602.2,606.6,606.6,82.40000
2016,6,606.5,610.8,605.1,610.4,610.4,78.50000
2016,7,610.6,614.5,608.5,614.5,614.5,75.00000
2016,8,614.6,628.8,613.8,626.3,626.3,86.70000
2016,9,626.4,626.8,620.3,622.9,622.9,64.60000
2016,10,622.9,625.1,622.4,623.5,623.5,45.00000
2016,11,623.4,628.8,600.5,606.7,606.7,73.60000
2016,12,607,608.5,605.4,608.2,608.2,72.80000
2016,13,608,611.2,606.9,609.2,609.2,86.90000
2016,14,608.8,612,608.4,610.7,610.7,47.90000
2016,15,610.6,611.1,607.2,607.2,607.2,59.50000
2016,16,607.2,609.3,606.7,607,607,65.00000
2016,17,607.2,607.9,605.2,606,606,37.10000
2016,18,606.3,610.2,605.9,609.9,609.9,48.70000
2016,19,609.9,610.9,608.3,609.2,609.2,54.80000
